"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/2026","218.50","218.87","219.03","217.98","","-0.17%"
"07/16/2026","218.87","219.64","219.70","218.65","","-0.33%"
"07/15/2026","219.60","217.12","219.66","216.92","","1.08%"
"07/14/2026","217.26","216.78","217.43","216.50","","0.20%"
"07/13/2026","216.83","216.79","217.35","216.34","","0.01%"
"07/10/2026","216.80","217.74","217.96","216.43","","-0.43%"
"07/09/2026","217.74","217.69","218.05","217.33","","0.02%"
"07/08/2026","217.69","216.51","217.88","216.30","","0.55%"
"07/07/2026","216.51","217.07","217.26","216.35","","-0.26%"
"07/06/2026","217.07","215.45","217.19","215.21","","0.74%"
"07/03/2026","215.48","215.02","215.58","214.74","","0.21%"
"07/02/2026","215.02","215.83","216.13","214.68","","-0.38%"
"07/01/2026","215.84","215.58","215.97","215.08","","0.11%"
"06/30/2026","215.61","214.69","215.80","214.38","","0.42%"
"06/29/2026","214.70","213.56","214.82","213.31","","0.53%"
"06/26/2026","213.56","213.44","213.89","213.19","","0.05%"
"06/25/2026","213.46","213.04","213.77","212.72","","0.20%"
"06/24/2026","213.04","213.30","213.55","212.51","","-0.15%"
"06/23/2026","213.35","214.20","214.30","212.95","","-0.34%"
"06/22/2026","214.08","213.47","214.72","212.46","","0.29%"
"06/19/2026","213.47","213.08","213.61","212.44","","0.16%"
